"Address","Indexability","Indexability Status","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks"
"https://nmgtechnologies.com/blog/working-from-home-during-the-coronavirus-lockdown","Indexable","","1","","9","3","0","2.700","91","63","0","19","19","0"
"https://nmgtechnologies.com/blog/why-does-enterprise-mobility-solutions-become-so-popular","Indexable","","1","","15","6","0","5.410","91","62","0","12","12","0"
"https://nmgtechnologies.com/blog/covid-19-resources","Indexable","","1","","32","4","0","3.600","113","63","0","27","27","0"
"https://nmgtechnologies.com/resources/library/python-development-guide","Indexable","","2","","26","2","0","1.800","108","60","0","71","65","0"
"https://nmgtechnologies.com/resources/library/mobile-app-development-guide","Indexable","","2","","89","2","0","1.800","190","62","0","91","78","0"
"https://nmgtechnologies.com/blog/wordpress-website-perfect-solution-small-business","Indexable","","2","","16","6","0","5.410","96","67","0","13","12","0"
"https://nmgtechnologies.com/resources/library/hire-web-developers-guide","Indexable","","2","","107","2","0","1.800","230","89","0","150","118","0"
"https://nmgtechnologies.com/blog/sempo-hangouts-session-user-experience","Indexable","","2","","10","3","0","2.700","94","63","0","23","16","0"
"https://nmgtechnologies.com/blog/startup-india-event-2016-key-highlights","Indexable","","2","","8","2","0","1.800","90","61","0","11","11","0"
"https://nmgtechnologies.com/blog/advantages-of-asp-net-core","Indexable","","2","","30","3","0","2.700","123","70","0","11","11","0"
"https://nmgtechnologies.com/blog/ui-ux-mobile-app-development","Indexable","","2","","10","3","0","2.700","96","66","0","20","20","0"
