"Address","Content Type","Status Code","Status","HTTP Version","Indexability","Indexability Status","Canonical Link Element 1","Meta Robots 1","X-Robots-Tag 1"
"https://nmgtechnologies.com/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/","",""
"https://nmgtechnologies.com/services/mobile-application-development/enterprise-mobility/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/services/mobile-application-development/enterprise-mobility/","",""
"https://nmgtechnologies.com/wordpress-development","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/wordpress-development","",""
"https://nmgtechnologies.com/solution/portals/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/solution/portals/","",""
"https://nmgtechnologies.com/company/about-us","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/company/about-us","",""
"https://nmgtechnologies.com/resources/library/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/resources/library/","",""
"https://nmgtechnologies.com/blog/nmg-technologies-to-participate-in-mobile-word-capital-barcelona-the-worlds-largest-and-most-influential-connectivity-event","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/blog/nmg-technologies-to-participate-in-mobile-word-capital-barcelona-the-worlds-largest-and-most-influential-connectivity-event","",""
"https://nmgtechnologies.com/solution/fintech/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/solution/fintech/","",""
"https://nmgtechnologies.com/services/web-development","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/services/web-development","",""
"https://nmgtechnologies.com/blog/tag/events","text/html; charset=UTF-8","200","OK","1.1","Indexable","","","",""
"https://nmgtechnologies.com/ai-driven-enterprise-software-development","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/ai-driven-enterprise-software-development","",""
"https://nmgtechnologies.com/solution/artificial-intelligence/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/solution/artificial-intelligence/","",""
"https://nmgtechnologies.com/ai-machine-learning-solutions","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/ai-machine-learning-solutions","",""
"https://nmgtechnologies.com/solution/cloud-apps/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/solution/cloud-apps/","",""
"https://nmgtechnologies.com/industry/fintech","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/industry/fintech","",""
"https://nmgtechnologies.com/services/mobile-application-development/android-app-development","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/services/mobile-application-development/android-app-development","",""
"https://nmgtechnologies.com/get-custom-pricing","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/get-custom-pricing","",""
"https://nmgtechnologies.com/services/dedicated-team-setups/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/services/dedicated-team-setups/","",""
"https://nmgtechnologies.com/industry/travel","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/industry/travel","",""
"https://nmgtechnologies.com/services/mobile-application-development/ios-app-development/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/services/mobile-application-development/ios-app-development/","",""
"https://nmgtechnologies.com/ai-enhanced-web-mobile-application-development","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/ai-enhanced-web-mobile-application-development","",""
"https://nmgtechnologies.com/services/shopify","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/services/shopify","",""
"https://nmgtechnologies.com/sitemap","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/sitemap","",""
"https://nmgtechnologies.com/services/custom-software-development/php-development/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/services/custom-software-development/php-development/","",""
"https://nmgtechnologies.com/contact-us","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/contact-us","",""
"https://nmgtechnologies.com/company/careers/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/company/careers/","",""
"https://nmgtechnologies.com/company/process/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/company/process/","",""
"https://nmgtechnologies.com/services/ecommerce-development/magento-development/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/services/ecommerce-development/magento-development/","",""
"https://nmgtechnologies.com/blog/nmg-to-participate-in-the-largest-tech-expo-in-the-middle-east-gitex-global-2023-dubai","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/blog/nmg-to-participate-in-the-largest-tech-expo-in-the-middle-east-gitex-global-2023-dubai","",""
"https://nmgtechnologies.com/privacy-policy","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/privacy-policy","",""
"https://nmgtechnologies.com/blog/working-from-home-during-the-coronavirus-lockdown","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/blog/working-from-home-during-the-coronavirus-lockdown","",""
"https://nmgtechnologies.com/services/it-consulting/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/services/it-consulting/","",""
"https://nmgtechnologies.com/industry/marketresearch","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/industry/marketresearch","",""
"https://nmgtechnologies.com/agentic-ai","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/agentic-ai","",""
