"Address","Content Type","Status Code","Status","HTTP Version","Indexability","Indexability Status","Canonical Link Element 1","Meta Robots 1","X-Robots-Tag 1"
"https://nmgtechnologies.com/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/","",""
"https://nmgtechnologies.com/hs-fs/hubfs/london-logo.png?width=168&height=50&name=london-logo.png","image/png","200","OK","1.1","Indexable","","","",""
"https://nmgtechnologies.com/hubfs/hub_generated/template_assets/1/79288942228/1779279328752/template_theme-overrides.min.css","text/css","200","OK","1.1","Indexable","","","","all"
"https://nmgtechnologies.com/services/mobile-application-development/enterprise-mobility/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/services/mobile-application-development/enterprise-mobility/","",""
"https://nmgtechnologies.com/wordpress-development","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/wordpress-development","",""
"https://nmgtechnologies.com/solution/portals/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/solution/portals/","",""
"https://nmgtechnologies.com/company/about-us","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/company/about-us","",""
"https://nmgtechnologies.com/hubfs/hub_generated/template_assets/1/73070272305/1742178316839/template_slider.min.css","text/css","200","OK","1.1","Indexable","","","","all"
"https://nmgtechnologies.com/resources/library/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/resources/library/","",""
"https://nmgtechnologies.com/hs-fs/hubfs/clutch-global.png.png?width=161&height=138&name=clutch-global.png.png","image/png","200","OK","1.1","Indexable","","","",""
"https://nmgtechnologies.com/hs-fs/hubfs/framework_17920711.png?width=50&height=50&name=framework_17920711.png","image/png","200","OK","1.1","Indexable","","","",""
"https://nmgtechnologies.com/hubfs/Pubnub.png","image/png","200","OK","1.1","Indexable","","","","all"
"https://nmgtechnologies.com/hs-fs/hubfs/star-ratinng.png?width=116&name=star-ratinng.png","image/png","200","OK","1.1","Indexable","","","",""
"https://nmgtechnologies.com/hs-fs/hubfs/cloud_4237040.png?width=50&height=50&name=cloud_4237040.png","image/png","200","OK","1.1","Indexable","","","",""
"https://nmgtechnologies.com/hs/hsstatic/HubspotToolsMenu/static-1.640/js/index.js","application/javascript","200","OK","1.1","Indexable","","","",""
"https://nmgtechnologies.com/hs-fs/hubfs/cloud_11248494.png?width=50&height=50&name=cloud_11248494.png","image/png","200","OK","1.1","Indexable","","","",""
"https://nmgtechnologies.com/hubfs/blog-home-img.webp","image/webp","200","OK","1.1","Indexable","","","","all"
"https://nmgtechnologies.com/hubfs/hub_generated/module_assets/1/79286377522/1742210702901/module_menu-section.min.js","application/javascript","200","OK","1.1","Indexable","","","","all"
"https://nmgtechnologies.com/hubfs/hub_generated/template_assets/1/73076382577/1742178318598/template_jquery-2.2.0.min.js","application/javascript","200","OK","1.1","Indexable","","","","all"
"https://nmgtechnologies.com/hs-fs/hubfs/cloud-computing_17092326.png?width=50&height=50&name=cloud-computing_17092326.png","image/png","200","OK","1.1","Indexable","","","",""
"https://nmgtechnologies.com/hubfs/hub_generated/module_assets/1/79287966637/1742210709720/module_lead-text.min.css","text/css","200","OK","1.1","Indexable","","","","all"
"https://nmgtechnologies.com/blog/nmg-technologies-to-participate-in-mobile-word-capital-barcelona-the-worlds-largest-and-most-influential-connectivity-event","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/blog/nmg-technologies-to-participate-in-mobile-word-capital-barcelona-the-worlds-largest-and-most-influential-connectivity-event","",""
"https://nmgtechnologies.com/solution/fintech/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/solution/fintech/","",""
"https://nmgtechnologies.com/services/web-development","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/services/web-development","",""
"https://nmgtechnologies.com/hubfs/top-healthcare.svg","image/svg+xml","200","OK","1.1","Indexable","","","","all"
"https://nmgtechnologies.com/blog/tag/events","text/html; charset=UTF-8","200","OK","1.1","Indexable","","","",""
"https://nmgtechnologies.com/hubfs/testimonial06.png","image/png","200","OK","1.1","Indexable","","","","all"
"https://nmgtechnologies.com/hs-fs/hubfs/artificial-intelligence_17027211.png?width=50&height=50&name=artificial-intelligence_17027211.png","image/png","200","OK","1.1","Indexable","","","",""
"https://nmgtechnologies.com/hs-fs/hubfs/forbes_badge_footer.png?width=199&height=121&name=forbes_badge_footer.png","image/png","200","OK","1.1","Indexable","","","",""
"https://nmgtechnologies.com/ai-driven-enterprise-software-development","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/ai-driven-enterprise-software-development","",""
"https://nmgtechnologies.com/hubfs/hub_generated/module_assets/1/79286758824/1742210705726/module_clients.min.css","text/css","200","OK","1.1","Indexable","","","","all"
"https://nmgtechnologies.com/solution/artificial-intelligence/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/solution/artificial-intelligence/","",""
"https://nmgtechnologies.com/ai-machine-learning-solutions","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/ai-machine-learning-solutions","",""
"https://nmgtechnologies.com/hubfs/hub_generated/module_assets/1/186622679813/1743678246986/module_Testimonial_Home_Page.min.js","application/javascript","200","OK","1.1","Indexable","","","","all"
"https://nmgtechnologies.com/solution/cloud-apps/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/solution/cloud-apps/","",""
"https://nmgtechnologies.com/hubfs/hugo_timeline.png","image/png","200","OK","1.1","Indexable","","","","all"
"https://nmgtechnologies.com/hubfs/hub_generated/template_assets/1/79287966993/1779279327386/template_main.min.js","application/javascript","200","OK","1.1","Indexable","","","","all"
"https://nmgtechnologies.com/hubfs/Atlys-Feb-20-2024-10-13-31-6281-AM.png","image/png","200","OK","1.1","Indexable","","","","all"
"https://nmgtechnologies.com/industry/fintech","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/industry/fintech","",""
"https://nmgtechnologies.com/hubfs/website-images/clients/logo1.png","image/png","200","OK","1.1","Indexable","","","","all"
"https://nmgtechnologies.com/services/mobile-application-development/android-app-development","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/services/mobile-application-development/android-app-development","",""
"https://nmgtechnologies.com/hubfs/gitex--dubai.webp","image/webp","200","OK","1.1","Indexable","","","","all"
"https://nmgtechnologies.com/get-custom-pricing","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/get-custom-pricing","",""
"https://nmgtechnologies.com/hubfs/hub_generated/template_assets/1/79287953967/1779279328372/template_main.min.css","text/css","200","OK","1.1","Indexable","","","","all"
"https://nmgtechnologies.com/hs-fs/hubfs/champion-badg.png.png?width=161&height=138&name=champion-badg.png.png","image/png","200","OK","1.1","Indexable","","","",""
"https://nmgtechnologies.com/services/dedicated-team-setups/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/services/dedicated-team-setups/","",""
"https://nmgtechnologies.com/hubfs/schedule-call.png","image/png","200","OK","1.1","Indexable","","","","all"
"https://nmgtechnologies.com/industry/travel","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/industry/travel","",""
"https://nmgtechnologies.com/services/mobile-application-development/ios-app-development/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/services/mobile-application-development/ios-app-development/","",""
"https://nmgtechnologies.com/hubfs/landing%20page/nikon.png","image/png","200","OK","1.1","Indexable","","","","all"
"https://nmgtechnologies.com/hubfs/Google%20Partner.png","image/png","200","OK","1.1","Indexable","","","","all"
"https://nmgtechnologies.com/ai-enhanced-web-mobile-application-development","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/ai-enhanced-web-mobile-application-development","",""
"https://nmgtechnologies.com/services/shopify","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/services/shopify","",""
"https://nmgtechnologies.com/sitemap","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/sitemap","",""
"https://nmgtechnologies.com/services/custom-software-development/php-development/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://nmgtechnologies.com/services/custom-software-development/php-development/","",""
