"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Image","https://nmgtechnologies.com/services/mobile-application-development/enterprise-mobility/","https://nmgtechnologies.com/hs-fs/hubfs/edtech.png.png?width=101&height=100&name=edtech.png.png","0","edtech.png","","404","Not Found","true","","","Absolute","//body/div[2]/main/div/div/div/div/div[9]/div/div/div/div/div/div/div/div/ul/li[3]/div[@class='icon']/img","Content","HTML"
"Image","https://nmgtechnologies.com/wordpress-development","https://nmgtechnologies.com/hs-fs/hubfs/edtech.png.png?width=101&height=100&name=edtech.png.png","0","edtech.png","","404","Not Found","true","","","Absolute","//body/div[2]/main/div/div/div/div/div[7]/div/div/div/div/div/div/div/div/ul/li[3]/div[@class='icon']/img","Content","HTML"
"Image","https://nmgtechnologies.com/services/web-development","https://nmgtechnologies.com/hs-fs/hubfs/edtech.png.png?width=101&height=100&name=edtech.png.png","0","edtech.png","","404","Not Found","true","","","Absolute","//body/div[2]/main/div/div/div/div/div[7]/div/div/div/div/div/div/div/div/ul/li[3]/div[@class='icon']/img","Content","HTML"
"Image","https://nmgtechnologies.com/services/mobile-application-development/android-app-development","https://nmgtechnologies.com/hs-fs/hubfs/edtech.png.png?width=101&height=100&name=edtech.png.png","0","edtech.png","","404","Not Found","true","","","Absolute","//body/div[2]/main/div/div/div/div/div[7]/div/div/div/div/div/div/div/div/ul/li[3]/div[@class='icon']/img","Content","HTML"
"Image","https://nmgtechnologies.com/services/mobile-application-development/ios-app-development/","https://nmgtechnologies.com/hs-fs/hubfs/edtech.png.png?width=101&height=100&name=edtech.png.png","0","edtech.png","","404","Not Found","true","","","Absolute","//body/div[2]/main/div/div/div/div/div[8]/div/div/div/div/div/div/div/div/ul/li[3]/div[@class='icon']/img","Content","HTML"
"Image","https://nmgtechnologies.com/services/shopify","https://nmgtechnologies.com/hs-fs/hubfs/edtech.png.png?width=101&height=100&name=edtech.png.png","0","edtech.png","","404","Not Found","true","","","Absolute","//body/div[2]/main/div/div/div/div/div[8]/div/div/div/div/div/div/div/div/ul/li[3]/div[@class='icon']/img","Content","HTML"
"Image","https://nmgtechnologies.com/services/custom-software-development/php-development/","https://nmgtechnologies.com/hs-fs/hubfs/edtech.png.png?width=101&height=100&name=edtech.png.png","0","edtech.png","","404","Not Found","true","","","Absolute","//body/div[2]/main/div/div/div/div/div[7]/div/div/div/div/div/div/div/div/ul/li[3]/div[@class='icon']/img","Content","HTML"
"Image","https://nmgtechnologies.com/services/custom-software-development/php-development/","https://nmgtechnologies.com/hs-fs/hubfs/edtech.png.png?width=101&height=100&name=edtech.png.png","0","edtech.png","","404","Not Found","true","","","Absolute","//body/div[2]/main/div/div/div/div/div[7]/div/div/div/div/div/div/div/div/ul/li[6]/div[@class='icon']/img","Content","HTML"
"Image","https://nmgtechnologies.com/services/ecommerce-development/magento-development/","https://nmgtechnologies.com/hs-fs/hubfs/edtech.png.png?width=101&height=100&name=edtech.png.png","0","edtech.png","","404","Not Found","true","","","Absolute","//body/div[2]/main/div/div/div/div/div[8]/div/div/div/div/div/div/div/div/ul/li[3]/div[@class='icon']/img","Content","HTML"
"Image","https://nmgtechnologies.com/services/ecommerce-development/","https://nmgtechnologies.com/hs-fs/hubfs/edtech.png.png?width=101&height=100&name=edtech.png.png","0","edtech.png","","404","Not Found","true","","","Absolute","//body/div[2]/main/div/div/div/div/div[7]/div/div/div/div/div/div/div/div/ul/li[3]/div[@class='icon']/img","Content","HTML"
"Image","https://nmgtechnologies.com/services/custom-software-development/saas-development/","https://nmgtechnologies.com/hs-fs/hubfs/edtech.png.png?width=101&height=100&name=edtech.png.png","0","edtech.png","","404","Not Found","true","","","Absolute","//body/div[2]/main/div/div/div/div/div[11]/div/div/div/div/div/div/div/div/ul/li[3]/div[@class='icon']/img","Content","HTML"
